location_id,postal_code,city,state,country
609,307001,Sirohi,Rajasthan,In
610,828109,"Gobindpur,Dhanbad",Jharkhand,In
611,576257,Kundapura,Karnataka,In
612,403406,Usgao,Goa,In
613,695573,Thiruvananthapuram,Kerala,In
614,201307,Noida Extension,Uttar Pradesh,In
615,124507,Jhajjar,Haryana,In
616,770048,Koida,Odisha,In
617,335062,Sadulshahar,Rajasthan,In
618,785697,Sibsagar,Assam,In
619,181132,Jammu,Jammu & Kashmir,In
620,181101,Jammu,Jammu & Kashmir,In
621,760006,Berhampur,Odisha,In
622,832109,Jamshedpur,Jharkhand,In
623,401101,Thane Bhayanderwest,Maharashtra,In
624,560083,Bangalore,Karnataka,In
625,682306,Tripunithura,Kerala,In
626,276305,Azamgarh,Uttar Pradesh,In
627,572214,Chiknayakanhalli,Karnataka,In
628,249203,Rishikesh,Uttarakhand,In
629,184152,Lakhanpur,Jammu & Kashmir,In
630,713321,Andal,West Bengal,In
631,602024,Chennai,Tamil Nadu,In
632,712248,Kolkata,West Bengal,In
633,403604,"Nuvem.   ( Do Not Ring The Door Bell, Call B4 Comg",Goa,In
634,847223,Madhubani,Bihar,In
635,785635,Titabor Town,Assam,In
636,524121,Sullurpeta,Andhra Pradesh,In
637,403516,Calangute,Goa,In
638,768004,Sambalpur,Odisha,In
639,201005,Gaziabad,Uttar Pradesh,In
640,403725,South Goa,Goa,In
641,689547,Kumbabad,Kerala,In
642,201308,Noida,Uttar Pradesh,In
643,573213,"Aluru ,Hassan District",Karnataka,In
644,451115,Barwaha,Madhya Pradesh,In
